merchant,eqx_leaf,llm_consensus_leaf,dict_leaf,haiku_confidence,sonnet_confidence,plaid_n,recommended_leaf,decision,review_confidence,rationale,verification_url
obento,restaurant_cafe,takeaway,,0.8,0.55,1,takeaway,llm_only_no_dict,not_applicable,Dictionary leaf is blank so the LLM leaf is the only supplied candidate,
school days direct,education_general,clothing_childrens,,0.8,0.45,1,clothing_childrens,llm_only_no_dict,not_applicable,Dictionary leaf is blank so the LLM leaf is the only supplied candidate,
dune,jewellery,footwear,,0.8,0.75,1,footwear,llm_only_no_dict,not_applicable,Dictionary leaf is blank so the LLM leaf is the only supplied candidate,
palmers quality butchers,groceries,groceries_specialist,,0.85,0.7,1,groceries_specialist,llm_only_no_dict,not_applicable,Dictionary leaf is blank so the LLM leaf is the only supplied candidate,
berghaus,clothing_general,clothing_outdoor,,0.9,0.8,1,clothing_outdoor,llm_only_no_dict,not_applicable,Dictionary leaf is blank so the LLM leaf is the only supplied candidate,
cedar tree insurance,insurance_travel,insurance_general,,0.85,0.6,1,insurance_general,llm_only_no_dict,not_applicable,Dictionary leaf is blank so the LLM leaf is the only supplied candidate,
europa delikatesy,groceries,groceries_specialist,,0.85,0.65,1,groceries_specialist,llm_only_no_dict,not_applicable,Dictionary leaf is blank so the LLM leaf is the only supplied candidate,
falafel stop,restaurant_cafe,takeaway,,0.85,0.6,1,takeaway,llm_only_no_dict,not_applicable,Dictionary leaf is blank so the LLM leaf is the only supplied candidate,
all that falafel,restaurant_cafe,takeaway,,0.85,0.6,1,takeaway,llm_only_no_dict,not_applicable,Dictionary leaf is blank so the LLM leaf is the only supplied candidate,
mortimer clarke solicitors,debt_collection,legal_services,,0.9,0.85,1,legal_services,llm_only_no_dict,not_applicable,Dictionary leaf is blank so the LLM leaf is the only supplied candidate,
base london,clothing_general,footwear,,0.8,0.5,1,footwear,llm_only_no_dict,not_applicable,Dictionary leaf is blank so the LLM leaf is the only supplied candidate,
e.leclerc,department_store,groceries,,0.85,0.7,1,groceries,llm_only_no_dict,not_applicable,Dictionary leaf is blank so the LLM leaf is the only supplied candidate,
the world's end,restaurant_cafe,pub_bar,,0.85,0.55,1,pub_bar,llm_only_no_dict,not_applicable,Dictionary leaf is blank so the LLM leaf is the only supplied candidate,
dawat-e-islami uk,memberships,charitable_donation,,0.8,0.5,1,charitable_donation,llm_only_no_dict,not_applicable,Dictionary leaf is blank so the LLM leaf is the only supplied candidate,
toffs,sportswear,clothing_general,,0.7,0.4,1,clothing_general,llm_only_no_dict,not_applicable,Dictionary leaf is blank so the LLM leaf is the only supplied candidate,
a & s outdoor ltd,groceries,clothing_outdoor,,0.75,0.4,1,clothing_outdoor,llm_only_no_dict,not_applicable,Dictionary leaf is blank so the LLM leaf is the only supplied candidate,
easyjet holidays,flights,holiday_package,,0.85,0.85,1,holiday_package,llm_only_no_dict,not_applicable,Dictionary leaf is blank so the LLM leaf is the only supplied candidate,
kickers,clothing_general,footwear,,0.8,0.75,1,footwear,llm_only_no_dict,not_applicable,Dictionary leaf is blank so the LLM leaf is the only supplied candidate,
escentual,gifts_flowers,fragrances,,0.8,0.7,1,fragrances,llm_only_no_dict,not_applicable,Dictionary leaf is blank so the LLM leaf is the only supplied candidate,
rocket dog,clothing_womens,footwear,,0.8,0.6,1,footwear,llm_only_no_dict,not_applicable,Dictionary leaf is blank so the LLM leaf is the only supplied candidate,
ogmore valley store ltd,groceries,convenience_store,,0.6,0.55,1,convenience_store,llm_only_no_dict,not_applicable,Dictionary leaf is blank so the LLM leaf is the only supplied candidate,
zenfolio,camera_photography,photography_services,,0.65,0.55,1,photography_services,llm_only_no_dict,not_applicable,Dictionary leaf is blank so the LLM leaf is the only supplied candidate,
extracare,charitable_donation,adult_care,,0.7,0.5,1,adult_care,llm_only_no_dict,not_applicable,Dictionary leaf is blank so the LLM leaf is the only supplied candidate,
sigma sports,bicycle,sports_equipment,,0.8,0.6,1,sports_equipment,llm_only_no_dict,not_applicable,Dictionary leaf is blank so the LLM leaf is the only supplied candidate,
beano in the park,restaurant_cafe,days_out,,0.8,0.4,1,days_out,llm_only_no_dict,not_applicable,Dictionary leaf is blank so the LLM leaf is the only supplied candidate,
the economist,newspapers,magazines,,0.85,0.75,1,magazines,llm_only_no_dict,not_applicable,Dictionary leaf is blank so the LLM leaf is the only supplied candidate,
bh live tickets,live_music,sports_tickets,,0.8,0.5,1,sports_tickets,llm_only_no_dict,not_applicable,Dictionary leaf is blank so the LLM leaf is the only supplied candidate,
rajapack,stationery,office_supplies,,0.75,0.55,1,office_supplies,llm_only_no_dict,not_applicable,Dictionary leaf is blank so the LLM leaf is the only supplied candidate,
char.gy,travel_other,fuel,,0.8,0.5,1,fuel,llm_only_no_dict,not_applicable,Dictionary leaf is blank so the LLM leaf is the only supplied candidate,
j d sport,sports_equipment,sportswear,,0.9,0.85,1,sportswear,llm_only_no_dict,not_applicable,Dictionary leaf is blank so the LLM leaf is the only supplied candidate,
joe energy,heating_oil,energy,,0.8,0.7,1,energy,llm_only_no_dict,not_applicable,Dictionary leaf is blank so the LLM leaf is the only supplied candidate,
cross foxes,restaurant_cafe,pub_bar,,0.8,0.55,1,pub_bar,llm_only_no_dict,not_applicable,Dictionary leaf is blank so the LLM leaf is the only supplied candidate,
